epoch,step,train_loss,val_loss
0,49,0.17131708562374115,
0,99,0.15121835470199585,
0,123,,0.1353851705789566
1,149,0.10531959682703018,
1,199,0.04891878738999367,
1,247,,0.02353641390800476
2,249,0.020267004147171974,
2,299,0.0125730000436306,
2,349,0.00826660543680191,
2,371,,0.007997864857316017
3,399,0.007038631476461887,
3,449,0.006104724016040564,
3,495,,0.006003714166581631
4,499,0.005568158812820911,
4,549,0.004892413504421711,
4,599,0.004630270414054394,
4,619,,0.004940798506140709
5,649,0.004460165277123451,
5,699,0.004491601604968309,
5,743,,0.00403910968452692
6,749,0.003799368627369404,
6,799,0.003972387872636318,
6,849,0.0037385846953839064,
6,867,,0.00364675372838974
7,899,0.0037877457216382027,
7,949,0.003810811322182417,
7,991,,0.003212123643606901
8,999,0.003295792965218425,
8,1049,0.0032046237029135227,
8,1099,0.003251811722293496,
8,1115,,0.003024775767698884
9,1149,0.0026997230015695095,
9,1199,0.002939207712188363,
9,1239,,0.0028156412299722433
10,1249,0.0024998532608151436,
10,1299,0.0025486007798463106,
10,1349,0.00249783368781209,
10,1363,,0.002751225372776389
11,1399,0.002245161449536681,
11,1449,0.00253254733979702,
11,1487,,0.0024694742169231176
12,1499,0.002163034165278077,
12,1549,0.002256931271404028,
12,1599,0.002140544820576906,
12,1611,,0.002379646757617593
13,1649,0.0024195837322622538,
13,1699,0.002099124249070883,
13,1735,,0.002263349713757634
14,1749,0.0022858723532408476,
14,1799,0.0017906547291204333,
14,1849,0.0022579117212444544,
14,1859,,0.0021588588133454323
15,1899,0.0019893033895641565,
15,1949,0.0019499283516779542,
15,1983,,0.002182400319725275
16,1999,0.002074536867439747,
16,2049,0.0019596312195062637,
16,2099,0.001972307451069355,
16,2107,,0.002064276020973921
17,2149,0.0018954187398776412,
17,2199,0.0017460240051150322,
17,2231,,0.002010074444115162
18,2249,0.0021079250145703554,
18,2299,0.0018705367110669613,
18,2349,0.0018410441698506474,
18,2355,,0.00196636444889009
19,2399,0.001690028002485633,
19,2449,0.0019807820208370686,
19,2479,,0.0019456580048426986
20,2499,0.0018205423839390278,
20,2549,0.0018279596697539091,
20,2599,0.0017428963910788298,
20,2603,,0.001885049045085907
21,2649,0.001735059660859406,
21,2699,0.001753740245476365,
21,2727,,0.0018553435802459717
22,2749,0.0016423873603343964,
22,2799,0.0017501357942819595,
22,2849,0.0016904406948015094,
22,2851,,0.0018282720120623708
23,2899,0.00190982804633677,
23,2949,0.0018308254657313228,
23,2975,,0.0018264257814735174
24,2999,0.0016286356840282679,
24,3049,0.0016350466758012772,
24,3099,0.0017886636778712273,
24,3099,,0.0018076890846714377
25,3149,0.0015312226023525,
25,3199,0.001553423353470862,
25,3223,,0.001749944407492876
26,3249,0.0015146402874961495,
26,3299,0.0016385710332542658,
